Original works,,,,,
Opera,,,,,
Don Sanche (Le château de l'amour),1824–25,Stage,,vv ch orch,"opera in 1 act; libretto by Théaulon and de Rancé, after a story by Jean-Pierre Claris de Florian; first perf. 1825-10-17 in Paris; unpublished"
Hymne de l'enfant á son réveil (O père qu'adore mon père),1860–62?,"Choral, sacred",,ch pf/harm,"2nd version of S.19/1, S.19/3, S.19/4; text in French and Italian"
Hymne de l'enfant á son réveil (O père qu'adore mon père),1865,"Choral, sacred",,ch pf/harm,"3rd version of S.19/1, S.19/2, S.19/4; text in French and Italian"
Hymne de l'enfant à son réveil (O père qu'adore mon père),1874,"Choral, sacred",,fch pf/harm (+ hp),"4th version of S.19/1, S.19/2, S.19/3; text in French, German and Hungarian"
Ave Maria I,1842,"Choral, sacred",B? major,ch (+ org),1st version of S.20/2; arr. for org as S.667b/1
Ave Maria I,1852,"Choral, sacred",A major,ch org,2nd version of S.20/1; arr. for org as S.667b/2
Pater noster I,1846,"Choral, sacred",,mch,"based on S.172a/6; 1st version of S.21/2; sometimes ""Pater noster II"" in older listings"
Pater noster I,1852,"Choral, sacred",,mch,2nd version of S.21/1
Pater noster IV,1850?,"Choral, sacred",C major,ch org,
Domine salvum fac regem (Psalm 20),1853,"Choral, sacred",,ten mch org,
Te Deum I,1853?,"Choral, sacred",,mch org,"sometimes ""Te Deum II"" in older listings"
Die Seligkeiten (Les béatitudes),1859,"Choral, sacred",,bar ch (+ org),rev. as S.3/6
Festgesang zur Eröffnung der zehnten allgemeinen deutschen Lehrerversammlung (Wir bau’n und bestellen das edelste Feld),1858,"Choral, sacred",,mch (+ org),
Te Deum II,1867,"Choral, sacred",,mch org (+ br perc),"sometimes ""Te Deum I"" in older listings"
An den heiligen Franziskus von Paula (Gebet),1860–74?,"Choral, sacred",,2ten 2bass mch org/harm (+3 tbn timp),based on S.175/2
Pater noster II (Das Vater unser),1860,"Choral, sacred",A? major,ch org,rev. as S.3/7
Responsorien und Antiphonen (Répons et Antiennes),1860,"Choral, sacred",,ch (+ org),
Christus ist geboren I (Weihnachtslied I),1863,"Choral, sacred",,ch org,1st version of S.31/2
Christus ist geboren I (Weihnachtslied I),1863,"Choral, sacred",,mch org,2nd version of S.31/1
Christus ist geboren II (Weihnachtslied II),1863,"Choral, sacred",,ch org/harm,"1st version of S.32/2, S.32/3; arr. for pf as S.502"
Christus ist geboren II (Weihnachtslied II),1863,"Choral, sacred",,mch (+ org),"2nd version of S.32/1, S.32/3"
Christus ist geboren II (Weihnachtslied II),1863,"Choral, sacred",,fch,"3rd version of S.32/1, S.32/2"
"Slavimo slavno, Slaveni!",1863–66,"Choral, sacred",,mch org,"arr. for pf as S.503, for org as S.668"
Ave maris stella,1865–66,"Choral, sacred",G major,ch org,1st version of S.34/2
Ave maris stella,1868,"Choral, sacred",B? major,mch org,"2nd version of S.34/1; arr. for v pf/harm as S.680, for pf as S.506, for harm as S.669/2a, for org/harm as S.669/2b"
Crux! (Hymne des marins avec Antienne approbative de Notre Tout Saint Père Pie IX),1865,"Choral, sacred",,mch,1st version of S.35/2
Crux! (Hymne des marins avec Antienne approbative de Notre Tout Saint Père Pie IX),1865,"Choral, sacred",,fch/cch pf,2nd version of S.35/1
Dall' alma Roma,1867–68,"Choral, sacred",,2vv (+ org),based on S.261
Mihi autem adhaerere (Offertoire de la messe du patriarche séraphique San François),1868,"Choral, sacred",,mch org,
Ave Maria II,1869,"Choral, sacred",D major,ch org,"arr. for harm as S.667c, for v org/harm as S.681, for pf as S.504/1 and S.504/2"
Inno a Maria Vergine,1869,"Choral, sacred",,ch hp org,1st version of S.39/2
Inno a Maria Vergine,1869,"Choral, sacred",,ch hp pf4h org/ham,2nd version of S.39/1
O salutaris hostia I,1869,"Choral, sacred",,fch org,
Pater noster III,1869,"Choral, sacred",F major,ch pf/org,1st version of S.41/2
Pater noster III,1869,"Choral, sacred",B? major,mch pf/org/harm,2nd version of S.41/1
Tantum ergo,1869,"Choral, sacred",,fch org,1st version of S.42/2
Tantum ergo,1869,"Choral, sacred",,mch org,2nd version of S.42/3
O salutaris hostia II,1870,"Choral, sacred",E major,ch (+ org),
Ave verum corpus,1871,"Choral, sacred",,ch (+ org),
Libera me,1871,"Choral, sacred",,mch org,arr. of S.12/6
Anima Christi sanctifica me,1874,"Choral, sacred",,mch org,1st version of S.46/1
Anima Christi sanctifica me,1874,"Choral, sacred",,mch org,2nd version of S.46/2
Sankt Christoph (Legend),1881,"Choral, sacred",,fch pf harm (+ hp),unpublished
Der Herr bewahret die Seelen seiner Heiligen,1860–75?,"Choral, sacred",,ch br timp org,
O heilige Nacht (Weihnachtslied),1881,"Choral, sacred",,ten fch org/harm,based on S.186/2
Adeste fidelis, ?,"Choral, sacred",,fch,incomplete
Alte deutsche geistliche Weisen,1878–79,"Choral, sacred",,ch kbd,"probably misattributed to Liszt, who arr. the pieces as S.504b and S.669a"
Es segne uns Gott,1878–79,"Choral, sacred",,ch kbd,"arr. for pf as S.504b/3a, for ch org as S.669a/1"
Meine Seel' erhebt den Herrn (Gott sei gnädig und barmherzig),1878–79,"Choral, sacred",,ch kbd,"arr. for pf as S.504b/3, for v ch/org as S.669a/2, for ch org as S.51"
Nun ruhen alle Wälder,1878–79,"Choral, sacred",,ch kbd,"arr. for pf as S.504b/5, for v org as S.669a/3"
O Haupt voll Blut und Wunden,1878–79,"Choral, sacred",,ch kbd,"arr. for pf as S.504b/6, for v org as S.669a/4"
O Lamm Gottes!,1878–79,"Choral, sacred",,ch kbd,"arr. for pf as S.504b/7, for v pf/org as S.669a/5"
