original works, , , , , 

opera, , , , , 

don sanche (le château de l'amour), 1824–25, stage, , vv ch orch, "opera in 1 act; libretto by théaulon and de rancé
scherzo (allegro molto quasi presto), 1827, "piano,  original", g minor, pf
marche funèbre, 1827, "piano,  original", , pf
grand solo caractèristique d'apropos une chansonette de panseron, 1830–32, "piano,  original", , pf
harmonies poétiques et religieuses i, 1833–34, "piano,  original", , pf
apparitions, 1834, "piano,  original", , pf
(senza lentezza quasi allegretto), 1834, "piano,  original", f? major, pf
(vivamanete), 1834, "piano,  original", a minor, pf
fantaisie sur une valse de françois schubert (molto agitato ed appassionato), 1834, "piano,  original", , pf
airs suisses (3), 1835–36, "piano,  original", , pf
improvisata sur le ranz des vaches (départ pour les alpes), 1835–36, "piano,  original", , pf
nocturne sur le chant montagnard, 1835–36, "piano,  original", , pf
rondeau sur le ranz des chèvres, 1835–36, "piano,  original", , pf
album d'un voyageur, 1837–38, "piano,  original", , pf
i. impressions et poésies, , , , , 

lyon, 1837–38, "piano,  original", c major, pf
le lac de wallenstadt, 1837–38, "piano,  original", a? major, pf
au bord d'une source, 1837–38, "piano,  original", a? major, pf
les cloches de g[enève], 1837–38, "piano,  original", b major, pf
vallée d'obermann, 1837–38, "piano,  original", e minor, pf
la chapelle de guilaume tell, 1837–38, "piano,  original", c major, pf
psaume (de l'église á genève), 1837–38, "piano,  original", f major, pf
album d'un voyageur, 1837–38, "piano,  original", c major, pf
ii. fleurs mélodiques des alpes, , , , , 

(allegro), 1837–38, "piano,  original", c major, pf
(lento– allegro vivace), 1837–38, "piano,  original", e minor–g major, pf
(allegro pastorale), 1837–38, "piano,  original", g major, pf
(andante con sentimento– allegretto), 1837–38, "piano,  original", g major, pf
(andante molto espressivo), 1837–38, "piano,  original", g minor, pf
(allegro moderato), 1837–38, "piano,  original", e major, pf
(allegretto), 1837–38, "piano,  original", a? major, pf
(allegretto), 1837–38, "piano,  original", d? major, pf
(andantino con molto sentimento), 1837–38, "piano,  original", g major, pf
album d'un voyageur, 1837–38, "piano,  original", , pf
iii. paraphrases, , , , , 

ranz de vaches (montée aux alpes: improvisata), 1837–38, "piano,  original", g major, pf
un soir dans les montagnes (nocturne pastoral), 1837–38, "piano,  original", c major, pf
ranz de chèvres de f. huber (allegro finale), 1837–38, "piano,  original", , pf
morceaux suisses (3):, 1876–77, "piano,  original", , pf
"ranz de vaches (mélodie de ferdinand huber,  avec variations)", 1876–77, "piano,  original", 
un soir dans la montagne (mélodie d'ernest knop), 1876–77, "piano,  original", , pf
ranz de chèvres (rondeau), 1876–77, "piano,  original", , pf
fantaisie romantique sur deux mélodies suisses, 1835–36, "piano,  original", , pf
sposalizio, 1838–39, "piano,  original", , pf
il penseroso, 1839, "piano,  original", , pf
canzonetta del salvator rosa, 1838–39, "piano,  original", , pf
quasi mazurka, 1843, "piano,  original", , pf
sonetti di petrarca (3):, 1843–46, "piano,  original", , pf
"sonetto civ (""pace non trovo"")", 1843–46, "piano,  original", , pf
"sonetto xlvii (""benedetto sia il giorno"")", 1843–46, "piano,  original", , pf
"sonetto cxxiii (""i' vidi in terra"")", 1843–46, "piano,  original", , pf
paralipomènes á la divina commedia (fantaisie symphonique), 1839, "piano,  original", , pf
prolégomènes á la divina commedia (fantaisie symphonique), 1839, "piano,  original", , pf
aprés une lecture du dante (fantasia quasi sonata), 1839, "piano,  original", , pf
adagio, 1841, "piano,  original", c major, pf
venezia e napoli, 1840, "piano,  original", , pf
(lento), 1840, "piano,  original", c minor, pf
(allegro), 1840, "piano,  original", c major, pf
(andante placido), 1840, "piano,  original", f? major, pf
tarantelles napolitaines, 1840, "piano,  original", g minor, pf
années de pèlerinage i (première année: suisse), 1848–55, "piano,  original", , pf
chapelle de guilaume tell, 1848–55, "piano,  original", c major, pf
au lac de wallenstadt, 1848–55, "piano,  original", a? major, pf
pastorale, 1848–55, "piano,  original", e major, pf
au bord d'une source, 1848–55, "piano,  original", a? major, pf
au bord d'une source, 1863, "piano,  original", a? major?, pf
orage, 1848–55, "piano,  original", c minor, pf
vallée d'obermann, 1848–55, "piano,  original", e minor, pf
eglogue, 1848–55, "piano,  original", a? major, pf
le mal du pays (heimweh), 1848–54, "piano,  original", e minor, pf
les cloches de genève, 1848–55, "piano,  original", b major, pf
années de pèlerinage ii, 1846–49, "piano,  original", , pf
(deuxième année: italie), , , , , 

sposalizio, 1849, "piano,  original", , pf
il penseroso, 1846–49, "piano,  original", c? minor, pf
canzonetta del salvator rosa, 1846, "piano,  original", a major, pf
sonetto 47 del petrarca, 1846, "piano,  original", , pf
sonetto 104 del petrarca, 1846, "piano,  original", , pf
sonetto 123 del petrarca, 1846, "piano,  original", , pf
aprés une lecture du dante (fantasia quasi sonata)., 1849, "piano,  original", , pf
"années de pèlerinage ii,  supplément", 1859, "piano,  original", 
(supplément: venezia e napoli), , , , , 

"gondoliera. canzone del cavaliere peruchini (""la biondina in gondoletta"")", 1859, "piano,  original", , pf
"canzone (‘nessun maggior dolore"")", 1859, "piano,  original", e? minor, pf
tarantella da guillaume louis cottrau, 1859, "piano,  original", g minor, pf
den schutz-engeln (angelus! prière à l'ange gardien), 1877, "piano,  original", , pf
aux anges gardiens (den schutz engeln), 1877, "piano,  original", , pf
den schutz-engeln (angelus! pri ère á l'ange gardien), 1880, "piano,  original", , pf
den schutz-engeln (angelus! pri ère á l'ange gardien), 1880, "piano,  original", , pf
den schutz-engeln (angelus! pri ère á l'ange gardien), 1880, "piano,  original", , pf
den cypressen der villa d'este, 1872, "piano,  original", , pf
sunt lacrymae rerum, 1877, "piano,  original", , pf
en mémoire de maximilian i, 1867, "piano,  original", , pf
sunt lacrymae rerum (in ungarischer weise), 1877, "piano,  original", , pf
postludium (sursum corda), 1877, "piano,  original", , pf
années de pèlerinage iii, 1877–82, "piano,  original", , pf
(troisième année), , , , , 

angelus! priere aux anges gardiens, 1882, "piano,  original", e major, pf
aux cyprès de la villa d'este (thrénodie i), 1877, "piano,  original", , pf
aux cyprès de la villa d'este (thrénodie ii), 1877, "piano,  original", e minor, pf
les jeux d'eaux á la ville d'este, 1877, "piano,  original", f? major, pf
"sunt lacrymae rerum,  en mode hongrois", 1882, "piano,  original", 
marche funèbre, 1867, "piano,  original", , pf
sursum corda (erhebet eure herzen), 1877, "piano,  original", e major, pf
album leaf (allegro vivace quasi presto), 1828, "piano,  original", f? minor, pf
"andantino (""pour emile et charlotte loudon"")", 1828, "piano,  original", e? major, pf
"album leaf (""ah! vous dirai-je,  maman"")", 1833, "piano,  original", a? major
"album leaf (""pressburg"")", 1839, "piano,  original", c minor, pf
"album leaf (""leipzig"")", 1840, "piano,  original", e major, pf
"album leaf (""quasi mazurek in c major"")", 1843, "piano,  original", c major, pf
albumblatt (feuille d'album no.1), 1840, "piano,  original", e major, pf
"album leaf (""vienna"")", 1840, "piano,  original", e major, pf
"album leaf (""leipzig"")", 1840, "piano,  original", e? major, pf
"album leaf (""exeter preludio"")", 1840, "piano,  original", , pf
"album leaf (""detmold)", 1841, "piano,  original", e major, pf
"three album leaves (""magyar"")", 1840-41, "piano,  original", , pf
"album leaf (""magyar"")", 1840, "piano,  original", b? minor, pf
"album leaf (""magyar"")", 1840, "piano,  original", b? minor, pf
"album leaf (""magyar"")", 1841, "piano,  original", d? major, pf
"album leaf (""rákóczi-marsch"")", 1841, "piano,  original", a minor, pf
"album leaf (""berlin preludio"")", 1842, "piano,  original", c major, pf
album leaf, 1840–45?, "piano,  original", d major, pf
"album leaf (""preludio"")", 1842, "piano,  original", , pf
"album leaf (""moderato in d? major"")", 1842, "piano,  original", d? major, pf
"album leaf (""adagio — religioso in c major"")", 1825, "piano,  original", c major, pf
feuilles d'album, 1844, "piano,  original", a? major, pf
albumblatt in walzerform, 1842, "piano,  original", a major, pf
album leaf, 1843, "piano,  original", e major, pf
album leaf, 1870, "piano,  original", a major, pf
"album leaf (""portugal"")", 1845, "piano,  original", a? major, pf
album leaf, 1845, "piano,  original", a? major, pf
"album leaf (""lyon prélude"")", 1844, "piano,  original", , pf
"album leaf (""prélude omnitonique"")", 1844, "piano,  original", , pf
"album leaf (""braunschweig preludio"")", 1844, "piano,  original", f? major?, pf
"album leaf (""serenade"")", 1840, "piano,  original", a minor, pf
"album leaf (""andante religioso in g major"")", 1846, "piano,  original", g major, pf
"album leaf (""andante religiosamente in g major"")", 1846, "piano,  original", g major, pf
"album leaf (""friska"")", 1845–49?, "piano,  original", a major, pf
album leaf, 1840s, "piano,  original", a? major, pf
album leaf, 1840s?, "piano,  original", g minor, pf
albumblätter für prinzessin marie von sayn-wittgenstein (album-leaves for princess marie von sayn-wittgenstein), 1847, "piano,  original", , pf
lilie (andantino), 1847, "piano,  original", c major, pf
hryc, 1847, "piano,  original", , pf
mazurek: gdy w czystem polu (mazurka: when on the clean earth), 1847, "piano,  original", a major, pf
krakowiak, 1847, "piano,  original", f major, pf
"album leaf (""freudvoll und leidvoll"")", 1847, "piano,  original", , pf
"album leaf (""langsam in c? minor"")", 1876, "piano,  original", c? minor, pf
"album leaf (""andantino in a? major"")", 1847, "piano,  original", a? major, pf
album leaf, 1847, "piano,  original", g major, pf
"two album leaves (""purgatorio"")", 1857?, "piano,  original", , pf
"album leaf (""purgatorio"")", 1857, "piano,  original", b minor, pf
"album leaf (""aus dem purgatorio des dante sinfonie"")", 1857?, "piano,  original", b minor, pf
album leaf, 1870, "piano,  original", a major, pf
feuille d'album no.2, , "piano,  original", , 
einleitung und schlußtakte zu tausigs dritter valse-caprice, , "piano,  original", , 
miniatur lieder, 1840–49, "piano,  original", , pf
album leaf (poco adagio), 1860?, "piano,  original", , pf
album leaf, 1860, "piano,  original", , pf
album leaf, 1861, "piano,  original", , pf
"album leaf (""dante symphony progression"")", 1860?, "piano,  original", g major, pf
"album leaf (""vivace ma non troppo in d? major"")", 1835, "piano,  original", d? major, pf
album leaf, 1860–69?, "piano,  original", , pf
"album leaf (""fugue chromatique - allegro in g minor"")", 1844, "piano,  original", g minor, pf
album leaf, 1840, "piano,  original", e? major, pf
"album leaf (""agitato in g major"")", 1849, "piano,  original", g major, pf
"album leaf (""aus den [erster] mephisto-walzer,  episode aus lenaus faust – der tanz in der dorfschenke"")", 1859 or later, "piano,  original", 
"album leaf (""allegretto in a major"")", 1842, "piano,  original", a major, pf
"album leaf (""tempo di marcia in e? major"")", 1845, "piano,  original", e? major, pf
"album leaf (""larghetto in d? major"")", 1883, "piano,  original", d? major, pf
"album leaf (""schlusschor des entfesselten prometheus – andante solenne in d?major"")", 1883, "piano,  original", d? major, pf
"album leaf (""andante in e? major"")", 1850s, "piano,  original", e? major, pf
"album leaf (""lyon"")", 1839, "piano,  original", c major, pf
album leaf, 1853, "piano,  original", e major, pf
Élégie sur des motifs du prince louis ferdinand de prusse, 1842–43, "piano,  original", a? major, pf
Élégie sur des motifs du prince louis ferdinand de prusse, 1851, "piano,  original", a? major, pf
andante amoroso, 1847?, "piano,  original", , pf
pensées (nocturne), 1845, "piano,  original", a major, pf
"romance ""o pourquoi donc""", 1848, "piano,  original", e minor, pf
ballade no.1 (le chant du croisé), 1848–49, "piano,  original", d? major, pf
ballade no.2, 1853, "piano,  original", b minor, pf
ballade no.2, 1853, "piano,  original", b minor, pf
consolations:, 1844–48, "piano,  original", , pf
(andante con moto), 1844–48, "piano,  original", e major, pf
(un poco più mosso), 1844–48, "piano,  original", e major, pf
"(lento,  quasi recitativo)", 1844–48, "piano,  original", e major
(quasi adagio; cantabile con devozione), 1844–48, "piano,  original", d? major, pf
(andantino), 1844–48, "piano,  original", e major, pf
(allegretto), 1844–48, "piano,  original", e major, pf
album leaf (consolation no.1), 1849–50, "piano,  original", , pf
prière d'un enfant á son réveil, 1840, "piano,  original", , pf
préludes et harmonies poétiques et religieuses (8):, 1845–47, "piano,  original", , pf
[untitled], 1845–47, "piano,  original", e? major, pf
languer, 1845–47, "piano,  original", c minor, pf
[untitled], 1845–47, "piano,  original", e major, pf
dernière illusion, 1845–47, "piano,  original", d? major, pf
[untitled], 1845–47, "piano,  original", g? major, pf
attente, 1845–47, "piano,  original", a major, pf
alternative, 1845–47, "piano,  original", e major, pf
m.k., 1845–47, "piano,  original", d? major, pf
litanies de marie, 1846–47, "piano,  original", e major, pf
consolations (pensées poétiques) (6):, 1849–50, "piano,  original", , pf
(andante con moto), 1849–50, "piano,  original", e major, pf
(un poco più mosso), 1849–50, "piano,  original", e major, pf
(lento placido), 1849–50, "piano,  original", d? major, pf
(quasi adagio), 1849–50, "piano,  original", d? major, pf
(andantino), 1849–50, "piano,  original", e major, pf
(allegretto sempre cantabile), 1849–50, "piano,  original", e major, pf
harmonies poétiques et religieuses ii (10):, 1840–47, "piano,  original", , pf
elevez-vous voix, 1840–47, "piano,  original", e major, pf
hymne de la nuit, 1840–47, "piano,  original", e major, pf
hymne du matin, 1840–47, "piano,  original", b major, pf
litanies de marie, 1840–47, "piano,  original", e major, pf
miserere, 1840–47, "piano,  original", e minor, pf
pater noster (d'apres la psalmodie de l'eglise), 1840–47, "piano,  original", c major, pf
hymne de l'enfant a son reveil, 1840–47, "piano,  original", a? major, pf
prose des morts (de profundis), 1840–47, "piano,  original", , pf
la lampe du temple, 1840–47, "piano,  original", g minor, pf
[hymn], 1840–47, "piano,  original", e? major, pf
benediction (prelude), 1840–47, "piano,  original", e? major, pf
ave maria, 1840–47, "piano,  original", , pf
stabat mater, 1847, "piano,  original", , pf
invocation, 1847, "piano,  original", e major, pf
hymne de la nuit, 1847, "piano,  original", e major, pf
hymne du matin, 1847, "piano,  original", b major, pf
harmonies poétiques et religieuses iii (10):, 1848–53, "piano,  original", , pf
invocation, 1848–51, "piano,  original", e major, pf
ave maria, 1842, "piano,  original", b? major, pf
bénédiction de dieu dans la solitude, 1851, "piano,  original", f? major, pf
pensée des morts, 1851, "piano,  original", , pf
pater noster, 1847, "piano,  original", c major, pf
hymne de l'enfant á son réveil, 1847, "piano,  original", a? major, pf
funérailles, 1849, "piano,  original", f minor, pf
miserere d'après palestrina, 1851, "piano,  original", e minor, pf
andante lagrimoso, 1851, "piano,  original", g? minor, pf
cantique d'amour, 1847, "piano,  original", e major, pf
berceuse, "1854,  1862", "piano,  original", d? major
légendes (2):, 1863, "piano,  original", , pf
st françois d'assise: la prédication aux oiseaux, 1862–63, "piano,  original", a major, pf
st françois de paule: marchant sur les flots, 1862–63, "piano,  original", e major, pf
"st françois de paule,  marchant sur les flots", 1863, "piano,  original", e major?
grand solo de concert, 1849, "piano,  original", e minor?, pf
grosses konzertsolo, 1849–50, "piano,  original", e minor, pf
wilde jagd - scherzo, 1851, "piano,  original", d minor/b?major, pf
scherzo und marsch, 1851, "piano,  original", d minor and b? major, pf
piano sonata, 1852–53, "piano,  original", b minor, pf
"weinen,  klagen,  sorgen,  zagen", 1859, "piano
variationen über das motiv von bach, 1862, "piano,  original", f minor, pf
sarabande und chaconne aus dem singspiel almira, 1879, "piano,  original", g minor, pf
ave maria (die glocken von rom), 1862, "piano,  original", e major, pf
magnificat, 1862, "piano,  original", f major, pf
alleluja, 1862, "piano,  original", f major, pf
ave maria d'arcadelt, 1862, "piano,  original", f major, pf
urbi et orbi (bénédiction papale), 1864, "piano,  original", c? minor, pf
vexilla regis prodeunt (kreuzes hymne), 1864, "piano,  original", , pf
weihnachtsbaum, 1873–74, "piano,  original", , pf
psallite (altes weihnacthen), 1873–74, "piano,  original", f major, pf
o heilige nacht!, 1873–74, "piano,  original", d minor, pf
"die hirten an der krippe (""in dulci jubilo"")", 1873–74, "piano,  original", d? major, pf
adeste fideles (gleichsam als marsch der heiligen drei konige), 1873–74, "piano,  original", a major, pf
scherzoso, 1873–74, "piano,  original", f major, pf
reveille-matin (wecker), 1873–74, "piano,  original", , pf
schlummerlied, 1873–74, "piano,  original", f? major, pf
(alt-provenzalisches noel), 1873–74, "piano,  original", b minor, pf
(abendglocken), 1873–74, "piano,  original", , pf
(ehemals), 1873–74, "piano,  original", f minor, pf
ungarisch, 1873–74, "piano,  original", f minor, pf
polnisch, 1873–74, "piano,  original", b? minor, pf
weihnachtsbaum, 1874–76, "piano,  original", , pf
altes weihnacthslied (psalite), 1874–76, "piano,  original", f major, pf
o heilige nacht!, 1874–76, "piano,  original", d minor, pf
"die hirten an der krippe (""in dulce jubilo"")", 1874–76, "piano,  original", d? major, pf
adeste fideles (gleichsam als marsch der heiligen drei könige), 1874–76, "piano,  original", a major, pf
scherzoso (man zündet die kerzen des baumes an), 1874–76, "piano,  original", f major, pf
carillon, 1874–76, "piano,  original", , pf
schlummerlied, 1874–76, "piano,  original", f? major, pf
schlummerlied, 1882, "piano,  original", f? major?, pf
altes provenzalisches weihnachtslied, 1874–76, "piano,  original", b minor, pf
abendglocken, 1874–76, "piano,  original", , pf
ehemals, 1874–76, "piano,  original", f minor, pf
ungarisch, 1874–76, "piano,  original", f minor, pf
polnisch, 1874–76, "piano,  original", b? minor, pf
sancta dorothea, 1877, "piano,  original", e major, pf
resignazione, 1877, "piano,  original", e major, pf/org
resignazione, 1881, "piano,  original", e major, pf/org
in festo transfigurationis domini nostri jesu christi, 1880, "piano,  original", c major, pf
klavierstück no.1, 1866, "piano,  original", a? major, pf
klavierstück no.2, 1845, "piano,  original", a? major, pf
klavierstück no.2, 1845 or later, "piano,  original", d? major, pf
la marquise de blocqueville (un portrait en musique), 1869, "piano,  original", , pf
impromptu, 1872, "piano,  original", f? major, pf
klavierstücke (5), 1865–79, "piano,  original", , pf
sehr langsam, 1865, "piano,  original", e major, pf
lento assai, 1865, "piano,  original", a? major, pf
sehr langsam, 1873, "piano,  original", f? major, pf
andantino, 1876, "piano,  original", f? major, pf
sospiri! (andante), 1879, "piano,  original", , pf
klavierstück, 1854, "piano,  original", f? major, pf
mosonyis grabgeleit (mosonyi gyázmenete), 1870, "piano,  original", , pf
dem andenken petöfis, 1877, "piano,  original", , pf
schlummerlied im grabe, 1874, "piano,  original", , pf
elegy no.1, 1874, "piano,  original", , pf
entwurf der ramann-elegie, 1877, "piano,  original", , pf
elegy no.2, 1877, "piano,  original", , pf
toccata, 1879?, "piano,  original", c major, pf
kaiser wilhelm!, 1876, "piano,  original", , pf
wiegenlied (chant du berceau), 1881, "piano,  original", , pf
trübe wolken (nuages gris), 1881, "piano,  original", , pf
die trauer-gondel (la lugubre gondola), 1882, "piano,  original", , pf
la lugubre gondola (die trauer-gondel), 1882–83, "piano,  original", , pf
la lugubre gondola (die trauer-gondel), 1885, "piano,  original", , pf
r.w. - venezia, 1883, "piano,  original", , pf
am grabe richard wagners, 1883, "piano,  original", , pf
schlaflos! frage und antwort, 1883, "piano,  original", , pf
receuillement, 1877, "piano,  original", , pf
historische ungarische bildnisse, 1885, "piano,  original", , pf
stephan széchenyi, 1885, "piano,  original", , pf
joseph eötvös, 1885, "piano,  original", , pf
michael vörösmarty, 1885, "piano,  original", , pf
ladislaus teleki, 1885, "piano,  original", , pf
franz deák, 1885, "piano,  original", , pf
alexander petofi, 1885, "piano,  original", , pf
michael mosonyi, 1885, "piano,  original", , pf
historische ungarische bildnisse, 1885, "piano,  original", , pf
széchenyi istván, 1885, "piano,  original", , pf
deák ferenc, 1885, "piano,  original", , pf
teleki lászló, 1885, "piano,  original", , pf
eötvös józsef, 1885, "piano,  original", , pf
vörösmarty mihály, 1885, "piano,  original", , pf
petofi sándor, 1885, "piano,  original", , pf
mosonyi mihály, 1885, "piano,  original", , pf
trauervorspiel und trauermarsch, 1885, "piano,  original", , pf
preludio funebre, 1885, "piano,  original", , pf
marcia funebre, 1885, "piano,  original", , pf
en rêve (nocturne), 1885, "piano,  original", , pf
prélude á la polka d'alexandre porfiryevitch borodine (variation sur le thème favori et obligé), 1880, "piano,  original", , pf
unstern (sinistre), 1881, "piano,  original", , pf
works in dance form, , , , , 

waltzes (2):, 1823?, "piano,  dance form", a major, pf
grande valse di bravura (le bal de berne), 1836, "piano,  dance form", , pf
waltz, 1840, "piano,  dance form", e? major, pf
valse mélancolique, 1839, "piano,  dance form", e major, pf
valse mélancolique, 1840?, "piano,  dance form", e major, pf
waltz, 1835?, "piano,  dance form", a major, pf
ländler, 1843, "piano,  dance form", a? major, pf
ländler, 1879, "piano,  dance form", d major, pf
petite valse favorite (souvenir de st pétersbourg), 1842, "piano,  dance form", , pf
petite valse favorite (souvenir de st pétersbourg), 1843, "piano,  dance form", , pf
valse de marie (mariotte), 1842, "piano,  dance form", , pf
valse-impromptu, 1850–52, "piano,  dance form", , pf
valse-impromptu, 1870s?, "piano,  dance form", , pf
caprices-valses (3):, 1850–52, "piano,  dance form", , pf
valse de bravoure, 1850–52, "piano,  dance form", b? major, pf
valse mélancolique, 1850, "piano,  dance form", e major, pf
"valse de concert sur deux motifs de ""lucia"" et ""parisina"" de donizetti", 1850–52, "piano,  dance form", a major, pf
carrousel de madame pelet-narbonne, 1879?, "piano,  dance form", , pf
valses oubliées (4):, 1881–84, "piano,  dance form", , pf
valse oubliée no.1, 1881, "piano,  dance form", , pf
valse oubliée no.2, 1883, "piano,  dance form", , pf
valse oubliée no.3, 1883, "piano,  dance form", , pf
valse oubliée no.3, 1883?, "piano,  dance form", , pf
valse oubliée no.4, 1884, "piano,  dance form", , pf
mephisto waltz no.3, 1883, "piano,  dance form", , pf
mephisto waltz no.3, 1883, "piano,  dance form", , pf
bagatelle sans tonalité, 1885, "piano,  dance form", , pf
mephisto waltz no.4, 1885, "piano,  dance form", , pf
mephisto polka, 1882–83, "piano,  dance form", , pf
galop, 1846, "piano,  dance form", a minor, pf
grand galop chromatique, 1838, "piano,  dance form", e? major, pf
grand galop chromatique, 1840?, "piano,  dance form", e major, pf
galop de bal, 1840, "piano,  dance form", , pf
mazurka brillante, 1850, "piano,  dance form", , pf
mazurka, , "piano,  dance form", f minor, pf
petite valse favorite, , "piano,  dance form", , pf
polonaises (2):, 1850–51, "piano,  dance form", , pf
polonaise mélancolique, 1850–51, "piano,  dance form", c minor, pf
polonaise, 1850–51, "piano,  dance form", e major, pf
csárdás macabre, 1881–82, "piano,  dance form", , pf
csárdás (2):, 1884, "piano,  dance form", , pf
csárdás, 1884, "piano,  dance form", , pf
csárdás obstinée (hartnäckiger csardas), 1884, "piano,  dance form", , pf
festvorspiel (preludio pomposo), 1856, "piano,  dance form", , pf
marche funèbre, 1827, "piano,  dance form", g minor, pf
festmarsch zur säcularfeier von goethes geburtstag, 1849, "piano,  dance form", e? major, pf
festmarsch, 1853, "piano,  dance form", c major, pf
huldigungsmarsch, 1857, "piano,  dance form", c major, pf
vom fels zum meer! (deutscher siegesmarsch), 1853–56, "piano,  dance form", e? major, pf
ungarischer marsch, 1859, "piano,  dance form", b? major, pf
bülow-marsch, 1883, "piano,  dance form", , pf
festpolonaise, 1876, "piano,  dance form", , pf
heroischer marsch in ungarischem stil (marche héroïque dans le genre hongrois), 1840, "piano,  dance form", a minor, pf
seconde marche hongroise (ungarischer sturmmarsch), 1842, "piano,  dance form", , pf
ungarischer geschwindmarsch (magyar gyors induló), 1870–71, "piano,  dance form", , pf
siegesmarsch (marche triomphale), 1884, "piano,  dance form", e? major, pf
marche hongroise, 1844, "piano,  dance form", e? minor, pf
works on national themes, , , , , 

austrian, , , , , 

tyrolean melody, , "piano,  national theme", , pf
hussitenlied (aus dem 15. jahrhundert), 1840, "piano,  national theme", , pf
english, , , , , 

god save the queen (paraphrase de concert), 1841–49, "piano,  national theme", , pf
french, , , , , 

faribolo pasteur (chanson tirée du poème de françonetto de jacques jasmin), 1844, "piano,  national theme", , pf
chanson du béarn (pastorale), 1844, "piano,  national theme", , pf
la marseillaise (chant de guerre par claude-joseph rouget de lisle), 1866–72, "piano,  national theme", , pf
la cloche sonne, 1850?, "piano,  national theme", c minor, pf
vive henri iv, 1879–80, "piano,  national theme", , pf
german, , , , , 

gaudeamus igitur (chanson des étudiants), 1843, "piano,  national theme", , pf
hungarian, , , , , 

zum andenken (ungarische werbungstänze) (2):, 1828, "piano,  national theme", , pf
kiniszi notája, 1828, "piano,  national theme", , pf
lassú magyar, 1828, "piano,  national theme", , pf
ungarischer romanzero (hungarian romances) (18):, 1853, "piano,  national theme", , pf
ungarischer romanzero no.1, 1853, "piano,  national theme", f minor, pf
ungarischer romanzero no.2, 1853, "piano,  national theme", a minor, pf
ungarischer romanzero no.3, 1853, "piano,  national theme", a minor, pf
ungarischer romanzero no.4, 1853, "piano,  national theme", a minor, pf
ungarischer romanzero no.5, 1853, "piano,  national theme", d minor, pf
ungarischer romanzero no.6, 1853, "piano,  national theme", a major, pf
ungarischer romanzero no.7, 1853, "piano,  national theme", a major, pf
ungarischer romanzero no.8, 1853, "piano,  national theme", d minor, pf
ungarischer romanzero no.9, 1853, "piano,  national theme", a major, pf
ungarischer romanzero no.10, 1853, "piano,  national theme", g minor, pf
ungarischer romanzero no.11, 1853, "piano,  national theme", f major, pf
ungarischer romanzero no.12, 1853, "piano,  national theme", c major, pf
ungarischer romanzero no.13, 1853, "piano,  national theme", f? minor, pf
ungarischer romanzero no.14, 1853, "piano,  national theme", d major, pf
ungarischer romanzero no.15, 1853, "piano,  national theme", d major, pf
ungarischer romanzero no.16, 1853, "piano,  national theme", c major, pf
ungarischer romanzero no.17, 1853, "piano,  national theme", a major, pf
ungarischer romanzero no.18, 1853, "piano,  national theme", a major, pf
magyar tempo, 1840, "piano,  national theme", , pf
magyar dalok (ungarische nationalmelodien), 1839–40, "piano,  national theme", , pf
(lento), 1839–40, "piano,  national theme", c minor, pf
(andantino), 1839–40, "piano,  national theme", c major, pf
(sehr langsam), 1839–40, "piano,  national theme", d? major, pf
(animato), 1839–40, "piano,  national theme", c? major, pf
(tempo giusto), 1839–40, "piano,  national theme", d? major, pf
(lento), 1839–40, "piano,  national theme", g minor, pf
"(andante cantabile,  quasi adagio)", 1839–40, "piano,  national theme", e? major
(lento. tempo marcato), 1839–40, "piano,  national theme", f minor, pf
(lento. quasi presto), 1839–40, "piano,  national theme", a minor, pf
(adagio sostenuto a capriccio. allegro vivace), 1839–40, "piano,  national theme", d major, pf
(andante sostenuto. allegretto), 1839–40, "piano,  national theme", b? major, pf
magyar rapszódiák, 1846–47, "piano,  national theme", , pf
"mesto [""héroïde élégiaque""]", 1846–47, "piano,  national theme", e minor, pf
"(tempo di marcia) [""rakoczi-marsch""]", 1846–47, "piano,  national theme", a minor, pf
"ungarische national-melodie [""rakoczi-marsch""]", 1846?, "piano,  national theme", a minor, pf
(lento a capriccio), 1846–47, "piano,  national theme", a minor, pf
(lento. tempo e stilo zingarese), 1846–47, "piano,  national theme", d minor, pf
(preludio. andante deciso), 1846–47, "piano,  national theme", e major, pf
(andante sostenuto), 1846–47, "piano,  national theme", a minor, pf
(adagio), 1846–47, "piano,  national theme", c? minor, pf
(lento patetico), 1846–47, "piano,  national theme", f? minor, pf
"(allegro vivace. andante) [""romanian rhapsody""]", 1846–47, "piano,  national theme", g minor, pf
"(lento,  tempo di marcia funèbre)", 1846–47, "piano,  national theme", e minor
pester karneval, 1846–48, "piano,  national theme", e? major, pf
rákóczi marsch, 1839–40, "piano,  national theme", a minor, pf
ungarische nationalmelodien (3):, 1840–43, "piano,  national theme", , pf
(tempo giusto), 1843, "piano,  national theme", d major, pf
(animato), 1843, "piano,  national theme", c? major, pf
prélude (allegretto), 1843, "piano,  national theme", b? major, pf
ungarische nationalmelodien (im leichten stile bearbeitet), 1846, "piano,  national theme", , pf
(tempo giusto), 1846, "piano,  national theme", d major, pf
(animato), 1846, "piano,  national theme", c major, pf
prélude (allegretto), 1846, "piano,  national theme", b? major, pf
célèbre mélodie hongroise, 1866 or later, "piano,  national theme", , pf
rêves et fantaisies, 1844–46?, "piano,  national theme", c? minor, pf
hungarian rhapsodies (ungarische rhapsodien), 1846–85, "piano,  national theme", , pf
